"","tool","run","parameter","moment","value"
"5647","nm7",121,"THETA2","se",NA
"5648","nm7",121,"THETA3","estimate","0.0642302"
"5649","nm7",121,"THETA3","prse",NA
"5650","nm7",121,"THETA3","se",NA
"5651","nm7",121,"THETA4","estimate","4.05004"
"5652","nm7",121,"THETA4","prse",NA
"5653","nm7",121,"THETA4","se",NA
"5654","nm7",121,"THETA5","estimate","99.7026"
"5655","nm7",121,"THETA5","prse",NA
"5656","nm7",121,"THETA5","se",NA
"5657","nm7",121,"THETA6","estimate","0.887529"
"5658","nm7",121,"THETA6","prse",NA
"5659","nm7",121,"THETA6","se",NA
"5660","nm7",121,"THETA7","estimate","1.59488"
"5661","nm7",121,"THETA7","prse",NA
"5662","nm7",121,"THETA7","se",NA
"5663","nm7",121,"OMEGA1.1","estimate","0.22943"
"5664","nm7",121,"OMEGA1.1","prse",NA
"5665","nm7",121,"OMEGA1.1","se",NA
"5666","nm7",121,"OMEGA2.1","estimate","0"
"5667","nm7",121,"OMEGA2.1","prse",NA
"5668","nm7",121,"OMEGA2.1","se",NA
"5669","nm7",121,"OMEGA2.2","estimate","0.167084"
"5670","nm7",121,"OMEGA2.2","prse",NA
"5671","nm7",121,"OMEGA2.2","se",NA
"5672","nm7",121,"OMEGA3.1","estimate","0"
"5673","nm7",121,"OMEGA3.1","prse",NA
"5674","nm7",121,"OMEGA3.1","se",NA
"5675","nm7",121,"OMEGA3.2","estimate","0"
"5676","nm7",121,"OMEGA3.2","prse",NA
"5677","nm7",121,"OMEGA3.2","se",NA
"5678","nm7",121,"OMEGA3.3","estimate","0.154903"
"5679","nm7",121,"OMEGA3.3","prse",NA
"5680","nm7",121,"OMEGA3.3","se",NA
"5681","nm7",121,"SIGMA1.1","estimate","0.0835259"
"5682","nm7",121,"SIGMA1.1","prse",NA
"5683","nm7",121,"SIGMA1.1","se",NA
"5684","nm7",121,"cov","status","0"
"5685","nm7",121,"prob","text","121 phase1 2 CMT like 1004 but diff. initial on V3"
"5686","nm7",121,"min","status","0"
"5687","nm7",121,"data","filename","../data/121.csv"
"5688","nm7",122,"ofv","minimum","2587.15264327999"
"5689","nm7",122,"THETA1","estimate","9.21128"
"5690","nm7",122,"THETA1","prse",NA
"5691","nm7",122,"THETA1","se",NA
"5692","nm7",122,"THETA2","estimate","22.626"
"5693","nm7",122,"THETA2","prse",NA
"5694","nm7",122,"THETA2","se",NA
"5695","nm7",122,"THETA3","estimate","0.0734999"
"5696","nm7",122,"THETA3","prse",NA
"5697","nm7",122,"THETA3","se",NA
"5698","nm7",122,"THETA4","estimate","3.62221"
"5699","nm7",122,"THETA4","prse",NA
"5700","nm7",122,"THETA4","se",NA
"5701","nm7",122,"THETA5","estimate","101.015"
"5702","nm7",122,"THETA5","prse",NA
"5703","nm7",122,"THETA5","se",NA
"5704","nm7",122,"THETA6","estimate","0.975908"
"5705","nm7",122,"THETA6","prse",NA
"5706","nm7",122,"THETA6","se",NA
"5707","nm7",122,"THETA7","estimate","1.52199"
"5708","nm7",122,"THETA7","prse",NA
"5709","nm7",122,"THETA7","se",NA
"5710","nm7",122,"OMEGA1.1","estimate","0.159044"
"5711","nm7",122,"OMEGA1.1","prse",NA
"5712","nm7",122,"OMEGA1.1","se",NA
"5713","nm7",122,"OMEGA2.1","estimate","0"
"5714","nm7",122,"OMEGA2.1","prse",NA
"5715","nm7",122,"OMEGA2.1","se",NA
"5716","nm7",122,"OMEGA2.2","estimate","0.113888"
"5717","nm7",122,"OMEGA2.2","prse",NA
"5718","nm7",122,"OMEGA2.2","se",NA
"5719","nm7",122,"OMEGA3.1","estimate","0"
"5720","nm7",122,"OMEGA3.1","prse",NA
"5721","nm7",122,"OMEGA3.1","se",NA
"5722","nm7",122,"OMEGA3.2","estimate","0"
"5723","nm7",122,"OMEGA3.2","prse",NA
"5724","nm7",122,"OMEGA3.2","se",NA
"5725","nm7",122,"OMEGA3.3","estimate","0.0720008"
"5726","nm7",122,"OMEGA3.3","prse",NA
"5727","nm7",122,"OMEGA3.3","se",NA
"5728","nm7",122,"SIGMA1.1","estimate","0.0619263"
"5729","nm7",122,"SIGMA1.1","prse",NA
"5730","nm7",122,"SIGMA1.1","se",NA
"5731","nm7",122,"cov","status","0"
"5732","nm7",122,"prob","text","122 phase1 2 CMT like 1004 but diff. initial on V3"
"5733","nm7",122,"min","status","0"
"5734","nm7",122,"data","filename","../data/122.csv"
"5735","nm7",123,"ofv","minimum","2060.52564693127"
"5736","nm7",123,"THETA1","estimate","9.14403"
"5737","nm7",123,"THETA1","prse",NA
"5738","nm7",123,"THETA1","se",NA
"5739","nm7",123,"THETA2","estimate","20.2453"
"5740","nm7",123,"THETA2","prse",NA
"5741","nm7",123,"THETA2","se",NA
"5742","nm7",123,"THETA3","estimate","0.0648819"
"5743","nm7",123,"THETA3","prse",NA
"5744","nm7",123,"THETA3","se",NA
"5745","nm7",123,"THETA4","estimate","3.53562"
"5746","nm7",123,"THETA4","prse",NA
"5747","nm7",123,"THETA4","se",NA
"5748","nm7",123,"THETA5","estimate","79.8771"
"5749","nm7",123,"THETA5","prse",NA
"5750","nm7",123,"THETA5","se",NA
"5751","nm7",123,"THETA6","estimate","0.882448"
"5752","nm7",123,"THETA6","prse",NA
"5753","nm7",123,"THETA6","se",NA
"5754","nm7",123,"THETA7","estimate","1.46284"
"5755","nm7",123,"THETA7","prse",NA
"5756","nm7",123,"THETA7","se",NA
"5757","nm7",123,"OMEGA1.1","estimate","0.189219"
"5758","nm7",123,"OMEGA1.1","prse",NA
"5759","nm7",123,"OMEGA1.1","se",NA
"5760","nm7",123,"OMEGA2.1","estimate","0"
"5761","nm7",123,"OMEGA2.1","prse",NA
"5762","nm7",123,"OMEGA2.1","se",NA
"5763","nm7",123,"OMEGA2.2","estimate","0.169057"
"5764","nm7",123,"OMEGA2.2","prse",NA
"5765","nm7",123,"OMEGA2.2","se",NA
"5766","nm7",123,"OMEGA3.1","estimate","0"
"5767","nm7",123,"OMEGA3.1","prse",NA
"5768","nm7",123,"OMEGA3.1","se",NA
"5769","nm7",123,"OMEGA3.2","estimate","0"
"5770","nm7",123,"OMEGA3.2","prse",NA
"5771","nm7",123,"OMEGA3.2","se",NA
"5772","nm7",123,"OMEGA3.3","estimate","0.120778"
"5773","nm7",123,"OMEGA3.3","prse",NA
"5774","nm7",123,"OMEGA3.3","se",NA
"5775","nm7",123,"SIGMA1.1","estimate","0.0645645"
"5776","nm7",123,"SIGMA1.1","prse",NA
"5777","nm7",123,"SIGMA1.1","se",NA
"5778","nm7",123,"cov","status","0"
"5779","nm7",123,"prob","text","123 phase1 2 CMT like 1004 but diff. initial on V3"
"5780","nm7",123,"min","status","0"
"5781","nm7",123,"data","filename","../data/123.csv"
"5782","nm7",124,"ofv","minimum","2883.72876867714"
"5783","nm7",124,"THETA1","estimate","8.81387"
"5784","nm7",124,"THETA1","prse",NA
"5785","nm7",124,"THETA1","se",NA
"5786","nm7",124,"THETA2","estimate","20.5334"
"5787","nm7",124,"THETA2","prse",NA
"5788","nm7",124,"THETA2","se",NA
"5789","nm7",124,"THETA3","estimate","0.0639922"
"5790","nm7",124,"THETA3","prse",NA
"5791","nm7",124,"THETA3","se",NA
"5792","nm7",124,"THETA4","estimate","3.99503"
"5793","nm7",124,"THETA4","prse",NA
"5794","nm7",124,"THETA4","se",NA
"5795","nm7",124,"THETA5","estimate","96.5482"
"5796","nm7",124,"THETA5","prse",NA
"5797","nm7",124,"THETA5","se",NA
"5798","nm7",124,"THETA6","estimate","0.928199"
"5799","nm7",124,"THETA6","prse",NA
"5800","nm7",124,"THETA6","se",NA
"5801","nm7",124,"THETA7","estimate","1.48585"
"5802","nm7",124,"THETA7","prse",NA
"5803","nm7",124,"THETA7","se",NA
"5804","nm7",124,"OMEGA1.1","estimate","0.240864"
"5805","nm7",124,"OMEGA1.1","prse",NA
"5806","nm7",124,"OMEGA1.1","se",NA
"5807","nm7",124,"OMEGA2.1","estimate","0"
"5808","nm7",124,"OMEGA2.1","prse",NA
"5809","nm7",124,"OMEGA2.1","se",NA
"5810","nm7",124,"OMEGA2.2","estimate","0.150181"
"5811","nm7",124,"OMEGA2.2","prse",NA
"5812","nm7",124,"OMEGA2.2","se",NA
"5813","nm7",124,"OMEGA3.1","estimate","0"
"5814","nm7",124,"OMEGA3.1","prse",NA
"5815","nm7",124,"OMEGA3.1","se",NA
"5816","nm7",124,"OMEGA3.2","estimate","0"
"5817","nm7",124,"OMEGA3.2","prse",NA
"5818","nm7",124,"OMEGA3.2","se",NA
"5819","nm7",124,"OMEGA3.3","estimate","0.101319"
"5820","nm7",124,"OMEGA3.3","prse",NA
"5821","nm7",124,"OMEGA3.3","se",NA
"5822","nm7",124,"SIGMA1.1","estimate","0.0674608"
"5823","nm7",124,"SIGMA1.1","prse",NA
"5824","nm7",124,"SIGMA1.1","se",NA
"5825","nm7",124,"cov","status","0"
"5826","nm7",124,"prob","text","124 phase1 2 CMT like 1004 but diff. initial on V3"
"5827","nm7",124,"min","status","0"
"5828","nm7",124,"data","filename","../data/124.csv"
"5829","nm7",125,"ofv","minimum","2488.81652289139"
"5830","nm7",125,"THETA1","estimate","9.4006"
"5831","nm7",125,"THETA1","prse",NA
"5832","nm7",125,"THETA1","se",NA
"5833","nm7",125,"THETA2","estimate","26.2212"
"5834","nm7",125,"THETA2","prse",NA
"5835","nm7",125,"THETA2","se",NA
"5836","nm7",125,"THETA3","estimate","0.0771925"
"5837","nm7",125,"THETA3","prse",NA
"5838","nm7",125,"THETA3","se",NA
"5839","nm7",125,"THETA4","estimate","4.98251"
"5840","nm7",125,"THETA4","prse",NA
"5841","nm7",125,"THETA4","se",NA
"5842","nm7",125,"THETA5","estimate","161.29"
"5843","nm7",125,"THETA5","prse",NA
"5844","nm7",125,"THETA5","se",NA
"5845","nm7",125,"THETA6","estimate","0.873816"
"5846","nm7",125,"THETA6","prse",NA
"5847","nm7",125,"THETA6","se",NA
"5848","nm7",125,"THETA7","estimate","1.6546"
"5849","nm7",125,"THETA7","prse",NA
"5850","nm7",125,"THETA7","se",NA
"5851","nm7",125,"OMEGA1.1","estimate","0.222389"
"5852","nm7",125,"OMEGA1.1","prse",NA
"5853","nm7",125,"OMEGA1.1","se",NA
"5854","nm7",125,"OMEGA2.1","estimate","0"
"5855","nm7",125,"OMEGA2.1","prse",NA
"5856","nm7",125,"OMEGA2.1","se",NA
"5857","nm7",125,"OMEGA2.2","estimate","0.0873941"
"5858","nm7",125,"OMEGA2.2","prse",NA
"5859","nm7",125,"OMEGA2.2","se",NA
"5860","nm7",125,"OMEGA3.1","estimate","0"
"5861","nm7",125,"OMEGA3.1","prse",NA
"5862","nm7",125,"OMEGA3.1","se",NA
"5863","nm7",125,"OMEGA3.2","estimate","0"
"5864","nm7",125,"OMEGA3.2","prse",NA
"5865","nm7",125,"OMEGA3.2","se",NA
"5866","nm7",125,"OMEGA3.3","estimate","0.0865226"
"5867","nm7",125,"OMEGA3.3","prse",NA
"5868","nm7",125,"OMEGA3.3","se",NA
"5869","nm7",125,"SIGMA1.1","estimate","0.0667358"
"5870","nm7",125,"SIGMA1.1","prse",NA
"5871","nm7",125,"SIGMA1.1","se",NA
"5872","nm7",125,"cov","status","0"
"5873","nm7",125,"prob","text","125 phase1 2 CMT like 1004 but diff. initial on V3"
"5874","nm7",125,"min","status","0"
"5875","nm7",125,"data","filename","../data/125.csv"
"5876","nm7",126,"ofv","minimum","2435.78060130815"
"5877","nm7",126,"THETA1","estimate","7.84672"
"5878","nm7",126,"THETA1","prse",NA
"5879","nm7",126,"THETA1","se",NA
"5880","nm7",126,"THETA2","estimate","22.4486"
"5881","nm7",126,"THETA2","prse",NA
"5882","nm7",126,"THETA2","se",NA
"5883","nm7",126,"THETA3","estimate","0.0713495"
"5884","nm7",126,"THETA3","prse",NA
"5885","nm7",126,"THETA3","se",NA
"5886","nm7",126,"THETA4","estimate","3.95746"
"5887","nm7",126,"THETA4","prse",NA
"5888","nm7",126,"THETA4","se",NA
"5889","nm7",126,"THETA5","estimate","111.094"
"5890","nm7",126,"THETA5","prse",NA
"5891","nm7",126,"THETA5","se",NA
"5892","nm7",126,"THETA6","estimate","1.34975"
"5893","nm7",126,"THETA6","prse",NA
"5894","nm7",126,"THETA6","se",NA
"5895","nm7",126,"THETA7","estimate","1.57153"
"5896","nm7",126,"THETA7","prse",NA
"5897","nm7",126,"THETA7","se",NA
"5898","nm7",126,"OMEGA1.1","estimate","0.11465"
"5899","nm7",126,"OMEGA1.1","prse",NA
"5900","nm7",126,"OMEGA1.1","se",NA
"5901","nm7",126,"OMEGA2.1","estimate","0"
"5902","nm7",126,"OMEGA2.1","prse",NA
"5903","nm7",126,"OMEGA2.1","se",NA
"5904","nm7",126,"OMEGA2.2","estimate","0.108318"
"5905","nm7",126,"OMEGA2.2","prse",NA
"5906","nm7",126,"OMEGA2.2","se",NA
"5907","nm7",126,"OMEGA3.1","estimate","0"
"5908","nm7",126,"OMEGA3.1","prse",NA
"5909","nm7",126,"OMEGA3.1","se",NA
"5910","nm7",126,"OMEGA3.2","estimate","0"
"5911","nm7",126,"OMEGA3.2","prse",NA
"5912","nm7",126,"OMEGA3.2","se",NA
"5913","nm7",126,"OMEGA3.3","estimate","0.104428"
"5914","nm7",126,"OMEGA3.3","prse",NA
"5915","nm7",126,"OMEGA3.3","se",NA
"5916","nm7",126,"SIGMA1.1","estimate","0.0663558"
"5917","nm7",126,"SIGMA1.1","prse",NA
"5918","nm7",126,"SIGMA1.1","se",NA
"5919","nm7",126,"cov","status","0"
"5920","nm7",126,"prob","text","126 phase1 2 CMT like 1004 but diff. initial on V3"
"5921","nm7",126,"min","status","0"
"5922","nm7",126,"data","filename","../data/126.csv"
"5923","nm7",127,"ofv","minimum","2427.10139836298"
"5924","nm7",127,"THETA1","estimate","8.60788"
"5925","nm7",127,"THETA1","prse",NA
"5926","nm7",127,"THETA1","se",NA
"5927","nm7",127,"THETA2","estimate","26.1306"
"5928","nm7",127,"THETA2","prse",NA
"5929","nm7",127,"THETA2","se",NA
"5930","nm7",127,"THETA3","estimate","0.0702281"
"5931","nm7",127,"THETA3","prse",NA
"5932","nm7",127,"THETA3","se",NA
"5933","nm7",127,"THETA4","estimate","5.81775"
"5934","nm7",127,"THETA4","prse",NA
"5935","nm7",127,"THETA4","se",NA
"5936","nm7",127,"THETA5","estimate","144.102"
"5937","nm7",127,"THETA5","prse",NA
"5938","nm7",127,"THETA5","se",NA
"5939","nm7",127,"THETA6","estimate","0.881632"
"5940","nm7",127,"THETA6","prse",NA
"5941","nm7",127,"THETA6","se",NA
"5942","nm7",127,"THETA7","estimate","1.90672"
"5943","nm7",127,"THETA7","prse",NA
"5944","nm7",127,"THETA7","se",NA
"5945","nm7",127,"OMEGA1.1","estimate","0.213598"
"5946","nm7",127,"OMEGA1.1","prse",NA
"5947","nm7",127,"OMEGA1.1","se",NA
"5948","nm7",127,"OMEGA2.1","estimate","0"
"5949","nm7",127,"OMEGA2.1","prse",NA
"5950","nm7",127,"OMEGA2.1","se",NA
"5951","nm7",127,"OMEGA2.2","estimate","0.11622"
"5952","nm7",127,"OMEGA2.2","prse",NA
"5953","nm7",127,"OMEGA2.2","se",NA
"5954","nm7",127,"OMEGA3.1","estimate","0"
"5955","nm7",127,"OMEGA3.1","prse",NA
"5956","nm7",127,"OMEGA3.1","se",NA
"5957","nm7",127,"OMEGA3.2","estimate","0"
"5958","nm7",127,"OMEGA3.2","prse",NA
"5959","nm7",127,"OMEGA3.2","se",NA
"5960","nm7",127,"OMEGA3.3","estimate","0.0628661"
"5961","nm7",127,"OMEGA3.3","prse",NA
"5962","nm7",127,"OMEGA3.3","se",NA
"5963","nm7",127,"SIGMA1.1","estimate","0.0678257"
"5964","nm7",127,"SIGMA1.1","prse",NA
"5965","nm7",127,"SIGMA1.1","se",NA
"5966","nm7",127,"cov","status","0"
"5967","nm7",127,"prob","text","127 phase1 2 CMT like 1004 but diff. initial on V3"
"5968","nm7",127,"min","status","0"
"5969","nm7",127,"data","filename","../data/127.csv"
"5970","nm7",128,"ofv","minimum","2244.62277481245"
"5971","nm7",128,"THETA1","estimate","8.30551"
"5972","nm7",128,"THETA1","prse",NA
"5973","nm7",128,"THETA1","se",NA
"5974","nm7",128,"THETA2","estimate","16.6287"
"5975","nm7",128,"THETA2","prse",NA
"5976","nm7",128,"THETA2","se",NA
"5977","nm7",128,"THETA3","estimate","0.0511634"
"5978","nm7",128,"THETA3","prse",NA
"5979","nm7",128,"THETA3","se",NA
"5980","nm7",128,"THETA4","estimate","1.75845"
"5981","nm7",128,"THETA4","prse",NA
"5982","nm7",128,"THETA4","se",NA
"5983","nm7",128,"THETA5","estimate","77.1045"
"5984","nm7",128,"THETA5","prse",NA
"5985","nm7",128,"THETA5","se",NA
"5986","nm7",128,"THETA6","estimate","0.930625"
"5987","nm7",128,"THETA6","prse",NA
"5988","nm7",128,"THETA6","se",NA
"5989","nm7",128,"THETA7","estimate","1.71527"
"5990","nm7",128,"THETA7","prse",NA
"5991","nm7",128,"THETA7","se",NA
"5992","nm7",128,"OMEGA1.1","estimate","0.203624"
"5993","nm7",128,"OMEGA1.1","prse",NA
"5994","nm7",128,"OMEGA1.1","se",NA
"5995","nm7",128,"OMEGA2.1","estimate","0"
"5996","nm7",128,"OMEGA2.1","prse",NA
"5997","nm7",128,"OMEGA2.1","se",NA
"5998","nm7",128,"OMEGA2.2","estimate","0.184622"
"5999","nm7",128,"OMEGA2.2","prse",NA
"6000","nm7",128,"OMEGA2.2","se",NA
"6001","nm7",128,"OMEGA3.1","estimate","0"
"6002","nm7",128,"OMEGA3.1","prse",NA
"6003","nm7",128,"OMEGA3.1","se",NA
"6004","nm7",128,"OMEGA3.2","estimate","0"
"6005","nm7",128,"OMEGA3.2","prse",NA
"6006","nm7",128,"OMEGA3.2","se",NA
"6007","nm7",128,"OMEGA3.3","estimate","0.0729969"
"6008","nm7",128,"OMEGA3.3","prse",NA
"6009","nm7",128,"OMEGA3.3","se",NA
"6010","nm7",128,"SIGMA1.1","estimate","0.0746118"
"6011","nm7",128,"SIGMA1.1","prse",NA
"6012","nm7",128,"SIGMA1.1","se",NA
"6013","nm7",128,"cov","status","0"
"6014","nm7",128,"prob","text","128 phase1 2 CMT like 1004 but diff. initial on V3"
"6015","nm7",128,"min","status","0"
"6016","nm7",128,"data","filename","../data/128.csv"
"6017","nm7",129,"ofv","minimum","2429.28515036625"
"6018","nm7",129,"THETA1","estimate","7.35846"
"6019","nm7",129,"THETA1","prse",NA
"6020","nm7",129,"THETA1","se",NA
"6021","nm7",129,"THETA2","estimate","20.6142"
"6022","nm7",129,"THETA2","prse",NA
"6023","nm7",129,"THETA2","se",NA
"6024","nm7",129,"THETA3","estimate","0.0677606"
"6025","nm7",129,"THETA3","prse",NA
"6026","nm7",129,"THETA3","se",NA
"6027","nm7",129,"THETA4","estimate","3.53117"
"6028","nm7",129,"THETA4","prse",NA
"6029","nm7",129,"THETA4","se",NA
"6030","nm7",129,"THETA5","estimate","88.5235"
"6031","nm7",129,"THETA5","prse",NA
"6032","nm7",129,"THETA5","se",NA
"6033","nm7",129,"THETA6","estimate","1.18594"
"6034","nm7",129,"THETA6","prse",NA
"6035","nm7",129,"THETA6","se",NA
"6036","nm7",129,"THETA7","estimate","1.432"
"6037","nm7",129,"THETA7","prse",NA
"6038","nm7",129,"THETA7","se",NA
"6039","nm7",129,"OMEGA1.1","estimate","0.140933"
"6040","nm7",129,"OMEGA1.1","prse",NA
"6041","nm7",129,"OMEGA1.1","se",NA
"6042","nm7",129,"OMEGA2.1","estimate","0"
"6043","nm7",129,"OMEGA2.1","prse",NA
"6044","nm7",129,"OMEGA2.1","se",NA
"6045","nm7",129,"OMEGA2.2","estimate","0.0642535"
"6046","nm7",129,"OMEGA2.2","prse",NA
"6047","nm7",129,"OMEGA2.2","se",NA
"6048","nm7",129,"OMEGA3.1","estimate","0"
"6049","nm7",129,"OMEGA3.1","prse",NA
"6050","nm7",129,"OMEGA3.1","se",NA
"6051","nm7",129,"OMEGA3.2","estimate","0"
"6052","nm7",129,"OMEGA3.2","prse",NA
"6053","nm7",129,"OMEGA3.2","se",NA
"6054","nm7",129,"OMEGA3.3","estimate","0.0831384"
"6055","nm7",129,"OMEGA3.3","prse",NA
"6056","nm7",129,"OMEGA3.3","se",NA
"6057","nm7",129,"SIGMA1.1","estimate","0.0589878"
"6058","nm7",129,"SIGMA1.1","prse",NA
"6059","nm7",129,"SIGMA1.1","se",NA
"6060","nm7",129,"cov","status","0"
"6061","nm7",129,"prob","text","129 phase1 2 CMT like 1004 but diff. initial on V3"
"6062","nm7",129,"min","status","0"
"6063","nm7",129,"data","filename","../data/129.csv"
"6064","nm7",130,"ofv","minimum","2684.01311576373"
"6065","nm7",130,"THETA1","estimate","10.0504"
"6066","nm7",130,"THETA1","prse",NA
"6067","nm7",130,"THETA1","se",NA
"6068","nm7",130,"THETA2","estimate","28.2532"
"6069","nm7",130,"THETA2","prse",NA
"6070","nm7",130,"THETA2","se",NA
"6071","nm7",130,"THETA3","estimate","0.0867549"
"6072","nm7",130,"THETA3","prse",NA
"6073","nm7",130,"THETA3","se",NA
"6074","nm7",130,"THETA4","estimate","4.95224"
"6075","nm7",130,"THETA4","prse",NA
"6076","nm7",130,"THETA4","se",NA
"6077","nm7",130,"THETA5","estimate","125.379"
"6078","nm7",130,"THETA5","prse",NA
"6079","nm7",130,"THETA5","se",NA
"6080","nm7",130,"THETA6","estimate","0.855329"
"6081","nm7",130,"THETA6","prse",NA
"6082","nm7",130,"THETA6","se",NA
"6083","nm7",130,"THETA7","estimate","1.57947"
"6084","nm7",130,"THETA7","prse",NA
"6085","nm7",130,"THETA7","se",NA
"6086","nm7",130,"OMEGA1.1","estimate","0.206563"
"6087","nm7",130,"OMEGA1.1","prse",NA
"6088","nm7",130,"OMEGA1.1","se",NA
"6089","nm7",130,"OMEGA2.1","estimate","0"
"6090","nm7",130,"OMEGA2.1","prse",NA
"6091","nm7",130,"OMEGA2.1","se",NA
"6092","nm7",130,"OMEGA2.2","estimate","0.0646283"
"6093","nm7",130,"OMEGA2.2","prse",NA
"6094","nm7",130,"OMEGA2.2","se",NA
"6095","nm7",130,"OMEGA3.1","estimate","0"
"6096","nm7",130,"OMEGA3.1","prse",NA
"6097","nm7",130,"OMEGA3.1","se",NA
"6098","nm7",130,"OMEGA3.2","estimate","0"
"6099","nm7",130,"OMEGA3.2","prse",NA
"6100","nm7",130,"OMEGA3.2","se",NA
"6101","nm7",130,"OMEGA3.3","estimate","0.132807"
"6102","nm7",130,"OMEGA3.3","prse",NA
"6103","nm7",130,"OMEGA3.3","se",NA
"6104","nm7",130,"SIGMA1.1","estimate","0.0462335"
"6105","nm7",130,"SIGMA1.1","prse",NA
"6106","nm7",130,"SIGMA1.1","se",NA
"6107","nm7",130,"cov","status","0"
"6108","nm7",130,"prob","text","130 phase1 2 CMT like 1004 but diff. initial on V3"
"6109","nm7",130,"min","status","0"
"6110","nm7",130,"data","filename","../data/130.csv"
"6111","nm7",131,"ofv","minimum","2251.21449138789"
"6112","nm7",131,"THETA1","estimate","8.40064"
"6113","nm7",131,"THETA1","prse",NA
"6114","nm7",131,"THETA1","se",NA
"6115","nm7",131,"THETA2","estimate","24.2884"
"6116","nm7",131,"THETA2","prse",NA
"6117","nm7",131,"THETA2","se",NA
"6118","nm7",131,"THETA3","estimate","0.0747521"
"6119","nm7",131,"THETA3","prse",NA
"6120","nm7",131,"THETA3","se",NA
"6121","nm7",131,"THETA4","estimate","4.44248"
"6122","nm7",131,"THETA4","prse",NA
"6123","nm7",131,"THETA4","se",NA
"6124","nm7",131,"THETA5","estimate","104.158"
"6125","nm7",131,"THETA5","prse",NA
"6126","nm7",131,"THETA5","se",NA
"6127","nm7",131,"THETA6","estimate","0.903748"
"6128","nm7",131,"THETA6","prse",NA
"6129","nm7",131,"THETA6","se",NA
"6130","nm7",131,"THETA7","estimate","1.9108"
"6131","nm7",131,"THETA7","prse",NA
"6132","nm7",131,"THETA7","se",NA
"6133","nm7",131,"OMEGA1.1","estimate","0.182251"
"6134","nm7",131,"OMEGA1.1","prse",NA
"6135","nm7",131,"OMEGA1.1","se",NA
"6136","nm7",131,"OMEGA2.1","estimate","0"
"6137","nm7",131,"OMEGA2.1","prse",NA
"6138","nm7",131,"OMEGA2.1","se",NA
"6139","nm7",131,"OMEGA2.2","estimate","0.0770132"
"6140","nm7",131,"OMEGA2.2","prse",NA
"6141","nm7",131,"OMEGA2.2","se",NA
"6142","nm7",131,"OMEGA3.1","estimate","0"
"6143","nm7",131,"OMEGA3.1","prse",NA
"6144","nm7",131,"OMEGA3.1","se",NA
"6145","nm7",131,"OMEGA3.2","estimate","0"
"6146","nm7",131,"OMEGA3.2","prse",NA
"6147","nm7",131,"OMEGA3.2","se",NA
"6148","nm7",131,"OMEGA3.3","estimate","0.0944541"
"6149","nm7",131,"OMEGA3.3","prse",NA
"6150","nm7",131,"OMEGA3.3","se",NA
"6151","nm7",131,"SIGMA1.1","estimate","0.070798"
"6152","nm7",131,"SIGMA1.1","prse",NA
"6153","nm7",131,"SIGMA1.1","se",NA
"6154","nm7",131,"cov","status","0"
"6155","nm7",131,"prob","text","131 phase1 2 CMT like 1004 but diff. initial on V3"
"6156","nm7",131,"min","status","0"
"6157","nm7",131,"data","filename","../data/131.csv"
"6158","nm7",132,"ofv","minimum","2678.85687410983"
"6159","nm7",132,"THETA1","estimate","6.70354"
"6160","nm7",132,"THETA1","prse",NA
"6161","nm7",132,"THETA1","se",NA
"6162","nm7",132,"THETA2","estimate","23.3313"
"6163","nm7",132,"THETA2","prse",NA
"6164","nm7",132,"THETA2","se",NA
"6165","nm7",132,"THETA3","estimate","0.0683401"
"6166","nm7",132,"THETA3","prse",NA
"6167","nm7",132,"THETA3","se",NA
"6168","nm7",132,"THETA4","estimate","3.35824"
"6169","nm7",132,"THETA4","prse",NA
"6170","nm7",132,"THETA4","se",NA
"6171","nm7",132,"THETA5","estimate","99.3304"
"6172","nm7",132,"THETA5","prse",NA
"6173","nm7",132,"THETA5","se",NA
"6174","nm7",132,"THETA6","estimate","1.3298"
"6175","nm7",132,"THETA6","prse",NA
"6176","nm7",132,"THETA6","se",NA
"6177","nm7",132,"THETA7","estimate","2.57472"
"6178","nm7",132,"THETA7","prse",NA
"6179","nm7",132,"THETA7","se",NA
"6180","nm7",132,"OMEGA1.1","estimate","0.179868"
"6181","nm7",132,"OMEGA1.1","prse",NA
"6182","nm7",132,"OMEGA1.1","se",NA
"6183","nm7",132,"OMEGA2.1","estimate","0"
"6184","nm7",132,"OMEGA2.1","prse",NA
"6185","nm7",132,"OMEGA2.1","se",NA
"6186","nm7",132,"OMEGA2.2","estimate","0.207582"
"6187","nm7",132,"OMEGA2.2","prse",NA
"6188","nm7",132,"OMEGA2.2","se",NA
"6189","nm7",132,"OMEGA3.1","estimate","0"
"6190","nm7",132,"OMEGA3.1","prse",NA
"6191","nm7",132,"OMEGA3.1","se",NA
"6192","nm7",132,"OMEGA3.2","estimate","0"
"6193","nm7",132,"OMEGA3.2","prse",NA
"6194","nm7",132,"OMEGA3.2","se",NA
"6195","nm7",132,"OMEGA3.3","estimate","0.041369"
"6196","nm7",132,"OMEGA3.3","prse",NA
"6197","nm7",132,"OMEGA3.3","se",NA
"6198","nm7",132,"SIGMA1.1","estimate","0.0543946"
"6199","nm7",132,"SIGMA1.1","prse",NA
"6200","nm7",132,"SIGMA1.1","se",NA
"6201","nm7",132,"cov","status","0"
"6202","nm7",132,"prob","text","132 phase1 2 CMT like 1004 but diff. initial on V3"
"6203","nm7",132,"min","status","0"
"6204","nm7",132,"data","filename","../data/132.csv"
